Accesorio de Musica,1,5,2130
Accesorio de Oficina,2,10,12222
Accesorio de Telefonia,3,1,1000
Accesorio de Telefonia,4,10,23444
Accesorio Deportivo,5,12,1232
Accesorio Electrico,6,6,3452
CDs,7,1,122
CDs,8,4,1333
Celulares,9,1,6232
Celulares,10,3,4222
Cinta de Impresora,11,1,3432
Cinta de Impresora,12,2,1211
Computadoras,13,4,4573
Computadoras,14,5,7532
Consola de Videojuegos,15,3,4531
Consola de Videojuegos,16,6,2352
Cosmeticos,17,2,123
Cosmeticos,18,2,235
Cuadernos,19,3,235
Discos Duros Vacios,20,2,2341
DVD Player,21,5,2131
Edredon,22,5,234
Electrodomesticos,23,10,23422
Equipo Medico,24,10,234211
Estuche de Cuero,25,3,233
Estuche Partes Plasticas,26,3,2342
Etiquetas de Papel o Carton,27,3,223
Etiquetas de Tela,28,5,234
Grabadoras,29,6,1331
Herramientas de Mano,30,6,1233
Impresoras,31,3,1233
Videojuegos,32,2,500
